Shoshana Gatton	role:president	subordinates:Alejandrina Rosenbalm,Shanae Dailey,Elene Rosado,Racheal Rausch		
Monserrate Smedley	role:chief architect	subordinates:Josphine Granada,Torri Lafrance,Isidra Wilmeth,Dewayne Doll
Lamonica Lewellyn	role:chief architect	subordinates:Wm Straub,Clemmie Banker,Polly Nicola,Danille Widell
Loria Bargas	role:chief architect	subordinates:Eugena Bohnert,Les Sasse,Polly Nicola,Latisha Mckenney
Broderick Forsman	role:chief architect	subordinates:Brandie Steere,Eugena Bohnert,Cicely Imai,Diedra Benefield,Kattie Ott
Sherrell Newberry	role:project lead	subordinates:Lauralee Mclawhorn,Ruthanne Althaus,Tomoko Schall,Lonnie Gelman
Roxie Sieben	role:project lead	subordinates:Clemmie Banker,Liza Sanks,Farrah Stanhope,Myrle Fregoe,Clay Veselka,Kattie Ott
Gertha Linda	role:project lead	subordinates:Wanita Dawkins,Burma Cermak,Polly Nicola,Lashay Portillo,Lonnie Gelman
Oren Tawney	role:project lead	subordinates:Olga Creasey,Josphine Granada,Lauralee Mclawhorn,Isidra Wilmeth,Eden Hee,Shanae Towler
Lavera Gadd	role:project lead	subordinates:Sherise Tabler,Les Sasse,Torri Lafrance,Shanae Towler,Maryam Mabry,Cicely Imai
Ela Mcfarlane	role:project lead	subordinates:Dewayne Doll,Josphine Granada,Danille Widell,Tomoko Schall,Maryam Mabry
Brice Bello	role:it worker	subordinates:none
Darla Polen	role:it worker	subordinates:none
Barrie Pickard	role:it worker	subordinates:none
Shaunda Rocca	role:it worker	subordinates:none
Erasmo Masek	role:project lead	subordinates:Eugena Bohnert,Shanae Towler,Latisha Mckenney,Lashaunda Langer,Latonya Shupe
Trang Lorenz	role:project lead	subordinates:Farrah Stanhope,Clay Veselka,Lonnie Gelman,Basilia Hochstetler
Vicente Gilder	role:project lead	subordinates:Olga Creasey,Les Sasse,Dewayne Doll,Tomoko Schall,Lashaunda Langer,Bobbi Gault
Pearl Dacruz	role:project lead	subordinates:Lecia Hebron,Eden Hee,Dedra Varner,Mattie Provost
Dillon Almquist	role:project lead	subordinates:Delmy Griese,Clay Veselka
Brandie Steere	role:project lead	subordinates:Latisha Mckenney,Maryam Mabry,Ruthanne Althaus,Olga Creasey
Kizzie Boedeker	role:project lead	subordinates:Burma Cermak,Les Sasse,Nikole Whitmore
Lajuana Funchess	role:project lead	subordinates:Dewayne Doll,Myrle Fregoe,Ruthanne Althaus,Annita Lizaola
Rosana Smelcer	role:project lead	subordinates:Awilda Deibert,Maryam Mabry
Doreen Blackwelder	role:project lead	subordinates:Shanae Towler,Bobbi Gault,Diedra Benefield,Lecia Hebron
Josphine Granada	role:engineer	subordinates:none
Torri Lafrance	role:engineer	subordinates:none
Isidra Wilmeth	role:engineer	subordinates:none
Dewayne Doll	role:engineer	subordinates:none
Wm Straub	role:engineer	subordinates:none
Clemmie Banker	role:engineer	subordinates:none
Polly Nicola	role:engineer	subordinates:none
Latisha Mckenney	role:engineer	subordinates:none
Danille Widell	role:engineer	subordinates:none
Eugena Bohnert	role:engineer	subordinates:none
Les Sasse	role:engineer	subordinates:none
Nikole Whitmore	role:engineer	subordinates:none
Delmy Griese	role:engineer	subordinates:none
Diedra Benefield	role:engineer	subordinates:none
Cicely Imai	role:engineer	subordinates:none
Samatha Belton	role:engineer	subordinates:none
Eden Hee	role:engineer	subordinates:none
Lashaunda Langer	role:engineer	subordinates:none
Lauralee Mclawhorn	role:engineer	subordinates:none
Shanae Towler	role:engineer	subordinates:none
Lecia Hebron	role:engineer	subordinates:none
Sherise Tabler	role:engineer	subordinates:none
Maryam Mabry	role:engineer	subordinates:none
Sharee Man	role:engineer	subordinates:none
Olga Creasey	role:engineer	subordinates:none
Dedra Varner	role:engineer	subordinates:none
Awilda Deibert	role:engineer	subordinates:none
Ruthanne Althaus	role:engineer	subordinates:none
Liza Sanks	role:engineer	subordinates:none
Novella Vire	role:engineer	subordinates:none
Latonya Shupe	role:engineer	subordinates:none
Farrah Stanhope	role:engineer	subordinates:none
Annita Lizaola	role:engineer	subordinates:none
Burma Cermak	role:engineer	subordinates:none
Casie Bulfer	role:engineer	subordinates:none
Bobbi Gault	role:engineer	subordinates:none
Melba Pell	role:engineer	subordinates:none
Mattie Provost	role:engineer	subordinates:none
Lashay Portillo	role:engineer	subordinates:none
Clay Veselka	role:engineer	subordinates:none
Myrle Fregoe	role:engineer	subordinates:none
Wanita Dawkins	role:engineer	subordinates:none
Basilia Hochstetler	role:engineer	subordinates:none
Tomoko Schall	role:engineer	subordinates:none
Kattie Ott	role:engineer	subordinates:none
Lonnie Gelman	role:engineer	subordinates:none
Reagan Rappold	role:janitor	subordinates:none
Yael Meals	role:janitor	subordinates:none
Elsie Kohlmeier	role:janitor	subordinates:none
Wynell Hedin	role:janitor	subordinates:none
Jacqulyn Thill	role:janitor	subordinates:none
